,number_of_response,delay_avg,jitter_avg
1578676425,14.0,0.002648616666666667,0.0002722306666666667
1578676426,24.0,0.0025625433333333336,0.00036465799999999996
1578676427,18.0,0.00269458,0.0003636616666666667
1578676428,22.0,0.00246022,0.000330673
1578676429,22.0,0.0024530733333333332,0.0003532136666666667
1578676430,19.0,0.00235403,0.00031332033333333334
1578676431,18.0,0.0025871566666666665,0.00027723666666666663
1578676432,22.0,0.002528373333333333,0.0002758183333333333
1578676433,23.0,0.002604473333333333,0.000287398
1578676434,22.0,0.002594263333333333,0.0003499453333333333
1578676435,19.0,0.0024631299999999996,0.0003161503333333333
1578676436,23.0,0.0024928366666666668,0.00039472966666666666
1578676437,24.0,0.0025343133333333334,0.00045677099999999997
1578676438,16.0,0.0022952899999999997,0.00041489866666666667
1578676439,15.0,0.0026476966666666665,0.00049444
1578676440,18.0,0.0034287966666666663,0.001157073
1578676441,11.0,0.0025896200000000004,0.00017937049999999997
1578676442,24.0,0.002569636666666667,0.0003969779999999999
1578676443,16.0,0.0025767800000000003,0.00042353933333333333
1578676444,17.0,0.00260108,0.00038973900000000006
1578676445,23.0,0.002425343333333333,0.00039905366666666666
1578676446,12.0,0.0026307366666666666,0.00019982133333333333
1578676447,21.0,0.0025330633333333335,0.00032393200000000003
1578676448,18.0,0.0024454900000000003,0.00033067866666666664
1578676449,17.0,0.002404523333333333,0.0004542333333333333
1578676450,16.0,0.0025030033333333333,0.00032332199999999996
1578676451,14.0,0.0023940999999999997,0.00022098446666666668
1578676452,6.0,0.0015538266666666667,0.0002272526666666667
1578676453,30.0,0.0024584066666666665,0.0003942143333333333
1578676454,26.0,0.0024566133333333334,0.00040163966666666666
1578676455,26.0,0.0025489366666666667,0.00041159633333333334
1578676456,18.0,0.002512386666666667,0.00035395900000000004
1578676457,12.0,0.002596283333333333,0.00041133833333333335
1578676458,11.0,0.00237237,0.00048367166666666667
1578676459,15.0,0.0027067733333333336,0.00028269566666666666
1578676460,13.0,0.0025937966666666665,0.000302426
1578676461,21.0,0.0025032500000000003,0.000264362
1578676462,24.0,0.0026098566666666666,0.0005505703333333334
1578676463,13.0,0.0024356833333333333,0.00034988466666666665
1578676464,2.0,0.0008195633333333333,9.385733333333334e-05
1578676465,24.0,0.002546786666666667,0.00040142800000000006
1578676466,28.0,0.0025499433333333334,0.00032770833333333333
1578676467,18.0,0.0025751466666666667,0.0004134493333333333
1578676468,31.0,0.00253971,0.0004225556666666667
1578676469,11.0,0.002360026666666667,0.00030928836666666666
1578676470,14.0,0.002596893333333333,0.000216659
1578676471,16.0,0.00252672,0.0004042626666666666
1578676472,13.0,0.0025711933333333334,0.00030045766666666665
1578676473,24.0,0.00251113,0.0002665606666666667
1578676474,16.0,0.0025859466666666663,0.00022079433333333333
1578676475,26.0,0.002549853333333334,0.0002840843333333333
1578676476,16.0,0.00253338,0.0004430666666666667
1578676477,29.0,0.0024345433333333335,0.00032593133333333333
1578676478,19.0,0.00255119,0.00045588599999999996
1578676479,20.0,0.0026546066666666666,0.0003069223333333333
1578676480,22.0,0.0025846466666666667,0.00031529433333333335
1578676481,2.0,0.0017226533333333334,0.0
1578676482,19.0,0.0026725066666666666,0.0005140383333333333
1578676483,35.0,0.0024947133333333336,0.00041354166666666666
1578676484,17.0,0.0025157866666666666,0.0003571746666666666
1578676485,24.0,0.0024642866666666663,0.000296393
1578676486,14.0,0.0026066333333333337,0.00019143166666666669
1578676487,35.0,0.002536336666666667,0.0002792423333333333
1578676488,14.0,0.002588723333333333,0.00034811100000000007
1578676489,22.0,0.0024334133333333333,0.00017119266666666666
1578676490,21.0,0.0026116966666666665,0.000326076
1578676491,17.0,0.0025423933333333336,0.0003136913333333334
1578676492,26.0,0.00248655,0.00040050266666666665
1578676493,17.0,0.0025598300000000004,0.00021660666666666666
1578676494,22.0,0.00248484,0.000260683
1578676495,22.0,0.00254083,0.00029133733333333334
1578676496,24.0,0.002675383333333333,0.00024053866666666666
1578676497,23.0,0.0026194300000000003,0.00020672533333333334
1578676498,20.0,0.0025911333333333334,0.0003225009333333333
1578676499,20.0,0.0025804533333333335,0.0002574392
1578676500,23.0,0.002420433333333333,0.00037922133333333333
1578676501,23.0,0.002733736666666667,0.00040164243333333326
1578676502,26.0,0.00257141,0.0003572716666666667
1578676503,14.0,0.00255023,0.00038002533333333336
1578676504,23.0,0.0024013533333333338,0.0003182693333333333
1578676505,17.0,0.00241739,0.0002840516666666667
1578676506,9.0,0.0024381466666666667,0.00029738766666666667
1578676507,0.0,0.0,0.0
1578676508,57.0,0.00274977,0.0005150706666666667
1578676509,28.0,0.002475006666666667,0.000268501
1578676510,24.0,0.0025596266666666665,0.0003284293333333333
1578676511,24.0,0.002458776666666667,0.00035717100000000004
1578676512,20.0,0.00257847,0.000319901
1578676513,16.0,0.00257559,0.0002981626666666666
1578676514,31.0,0.0025717666666666673,0.00044669666666666665
1578676515,21.0,0.0025953033333333334,0.000522905
1578676516,26.0,0.00243378,0.00020580466666666664
1578676517,22.0,0.0026155966666666663,0.00044826666666666665
1578676518,22.0,0.0026481066666666666,0.0002658583333333333
1578676519,15.0,0.002673703333333333,0.000317285
1578676520,24.0,0.0025760033333333335,0.0002612893333333334
1578676521,25.0,0.00246766,0.0004099686666666666
1578676522,15.0,0.0025750966666666666,0.00046878033333333334
1578676523,20.0,0.0024431033333333334,0.000286791
1578676524,38.0,0.00251057,0.00027638033333333333
1578676525,23.0,0.0024370066666666666,0.000174854
1578676526,22.0,0.00253795,0.0002856996666666667
1578676527,22.0,0.0025279599999999997,0.00046429466666666666
1578676528,26.0,0.00252568,0.00040417199999999995
1578676529,13.0,0.002711133333333333,0.00028709586666666667
1578676530,21.0,0.0028287166666666665,0.0003541666666666667
1578676531,17.0,0.0023906566666666664,0.00034270033333333336
1578676532,23.0,0.0026115299999999995,0.00030148966666666664
1578676533,22.0,0.0024657366666666664,0.0002306103333333333
1578676534,28.0,0.002576443333333333,0.0002820183333333333
1578676535,24.0,0.0025245466666666667,0.00030855866666666665
1578676536,20.0,0.0025257766666666667,0.00025142766666666667
1578676537,32.0,0.00266162,0.0002863263333333333
1578676538,22.0,0.0026768766666666667,0.0003811626666666667
1578676539,22.0,0.0026281599999999996,0.000262626
1578676540,19.0,0.0025428633333333334,0.000325053
1578676541,12.0,0.0026048933333333336,0.0005245473333333334
1578676542,28.0,0.0026388733333333335,0.0003896556666666666
1578676543,32.0,0.002606866666666667,0.00041204733333333334
1578676544,15.0,0.0025758666666666663,0.0004757656666666667
1578676545,16.0,0.0028791466666666667,0.00024543866666666664
1578676546,27.0,0.002570306666666667,0.00033323433333333334
1578676547,22.0,0.002641273333333333,0.0003715473333333333
1578676548,30.0,0.0026528566666666666,0.000371452
1578676549,20.0,0.0026774566666666667,0.000277261
1578676550,13.0,0.0025705966666666664,0.00013232233333333333
1578676551,20.0,0.002573596666666667,0.00037212633333333334
1578676552,31.0,0.00255264,0.00023122733333333332
1578676553,12.0,0.0027157966666666662,0.00023072299999999998
1578676554,11.0,0.00274281,0.0002838176666666667
1578676555,19.0,0.0027516199999999998,0.0003778106666666667
1578676556,20.0,0.00270766,0.00019538983333333335
1578676557,15.0,0.0026120766666666664,0.00025486933333333334
1578676558,27.0,0.0026595333333333335,0.000398303
1578676559,15.0,0.0026696733333333336,0.0003910923333333334
1578676560,12.0,0.0026508766666666667,0.00040772199999999996
1578676561,20.0,0.002638383333333333,0.00032903033333333333
1578676562,27.0,0.002620253333333334,0.00028530066666666664
1578676563,23.0,0.0025710866666666665,0.00036332199999999996
1578676564,18.0,0.0025714133333333334,0.00044775
1578676565,19.0,0.00249859,0.00043305866666666664
1578676566,15.0,0.002535466666666667,0.000379329
1578676567,19.0,0.0026537866666666667,0.00037916766666666667
1578676568,23.0,0.0027004966666666665,0.0005241336666666667
1578676569,18.0,0.002733046666666667,0.00033555333333333337
1578676570,22.0,0.00251681,0.0003812156666666666
1578676571,30.0,0.0025975666666666667,0.0002859166666666667
1578676572,22.0,0.0025760733333333335,0.00017931826666666665
1578676573,3.0,0.0009410099999999999,8.495633333333334e-05
1578676574,46.0,0.0026256033333333334,0.000387016
1578676575,19.0,0.0025847,0.00041549766666666666
1578676576,28.0,0.0026670866666666667,0.00023643833333333335
1578676577,28.0,0.0025342866666666665,0.0002970866666666667
1578676578,9.0,0.0027096633333333338,0.0002892016666666667
1578676579,38.0,0.002558116666666667,0.0005744626666666666
1578676580,16.0,0.00270697,0.000365554
1578676581,22.0,0.0025278633333333336,0.00040533299999999996
1578676582,20.0,0.0025833866666666668,0.0001970521
1578676583,23.0,0.002655956666666667,0.00039371299999999996
1578676584,20.0,0.0026355433333333333,0.00042760233333333334
1578676585,12.0,0.002461106666666666,0.000260516
1578676586,25.0,0.0027253866666666665,0.00033986499999999996
1578676587,28.0,0.00262529,0.00033467533333333336
1578676588,27.0,0.00265411,0.0002442476666666667
1578676589,25.0,0.0025428566666666668,0.00030814300000000003
1578676590,23.0,0.0027613033333333333,0.00028923690000000004
1578676591,22.0,0.002610146666666667,0.00022433233333333334
1578676592,28.0,0.0025787466666666666,0.00036426866666666664
1578676593,27.0,0.00267685,0.0005435496666666666
1578676594,26.0,0.0026506833333333336,0.00027859233333333335
1578676595,23.0,0.0026647000000000003,0.00040742166666666663
1578676596,25.0,0.002666833333333333,0.0004183183333333333
1578676597,31.0,0.0026718033333333335,0.00033035266666666665
1578676598,22.0,0.0026229833333333333,0.00038095699999999996
1578676599,22.0,0.002736313333333334,0.00030041286666666666
1578676600,37.0,0.0025893833333333334,0.00033231300000000004
1578676601,19.0,0.0026053133333333333,0.0002543662666666667
1578676602,33.0,0.0025204533333333333,0.00043533499999999996
1578676603,26.0,0.002716476666666667,0.0003802226666666667
1578676604,22.0,0.002628476666666667,0.0002948033333333334
1578676605,25.0,0.00267618,0.00039872999999999997
1578676606,28.0,0.0026111566666666666,0.00040484799999999997
1578676607,19.0,0.0027660933333333334,0.0006101343333333333
1578676608,23.0,0.002777736666666667,0.0002530460333333333
1578676609,27.0,0.002832366666666667,0.00030691700000000003
1578676610,23.0,0.0024135533333333333,0.00045319933333333337
1578676611,28.0,0.002565043333333333,0.000401003
1578676612,17.0,0.0026771866666666666,0.000338519
1578676613,18.0,0.002525946666666666,0.0003748846666666667
1578676614,28.0,0.0025764833333333337,0.00027080566666666663
1578676615,22.0,0.0024842,0.0004571166666666666
1578676616,11.0,0.0026783233333333334,0.00018027433333333336
1578676617,36.0,0.00260617,0.000328194
1578676618,36.0,0.002530493333333333,0.00037720900000000004
1578676619,17.0,0.0026671399999999997,0.0003912233333333333
1578676620,27.0,0.00275682,0.000243333
1578676621,28.0,0.002663826666666667,0.0005158606666666667
1578676622,24.0,0.0025531133333333337,0.000470104
1578676623,37.0,0.002634336666666666,0.000285874
1578676624,16.0,0.0026311100000000003,0.000411055
1578676625,29.0,0.0026418900000000005,0.0002912363333333334
1578676626,20.0,0.002653696666666667,0.00026766666666666665
1578676627,21.0,0.0026399933333333334,0.000248684
1578676628,22.0,0.0025469499999999996,0.00036866366666666667
1578676629,25.0,0.0025129266666666667,0.000425779
1578676630,27.0,0.0026861066666666665,0.00041539500000000004
1578676631,26.0,0.0026346433333333335,0.00034227600000000003
1578676632,17.0,0.0027116233333333334,0.0004607836666666667
1578676633,34.0,0.0026741766666666666,0.0003732573333333333
1578676634,22.0,0.0028270233333333333,0.0003903243333333334
1578676635,19.0,0.0017856399999999998,0.0002879133333333333
1578676636,34.0,0.0026823800000000003,0.000298115
1578676637,30.0,0.002475423333333333,0.0004939703333333333
1578676638,18.0,0.00266453,0.0004867676666666667
1578676639,19.0,0.002570963333333333,0.0003045003333333333
1578676640,27.0,0.00268034,0.000283805
1578676641,18.0,0.0027466266666666666,0.000332786
1578676642,28.0,0.0027221666666666666,0.0002526223333333333
1578676643,18.0,0.002713466666666666,0.00024248799999999999
1578676644,20.0,0.0027448266666666664,0.00031387066666666664
1578676645,20.0,0.0027545399999999998,0.00032028966666666666
1578676646,16.0,0.0026424133333333333,0.00037482566666666666
1578676647,28.0,0.0028028166666666664,0.00028813199999999997
1578676648,25.0,0.002526246666666667,0.00031872599999999997
1578676649,35.0,0.0025106866666666666,0.00030505033333333334
1578676650,30.0,0.0027837666666666663,0.00031623133333333336
1578676651,17.0,0.0027785766666666664,0.00035250433333333333
1578676652,14.0,0.0028471033333333333,0.00031023233333333334
1578676653,13.0,0.00256923,0.00040717899999999997
1578676654,33.0,0.002704353333333333,0.000491866
1578676655,26.0,0.0026524099999999996,0.000370775
1578676656,26.0,0.00269115,0.000468118
1578676657,40.0,0.002629323333333334,0.0004924833333333333
1578676658,27.0,0.0027634666666666668,0.00040050666666666666
1578676659,22.0,0.00271805,0.00043027033333333333
1578676660,28.0,0.0027395466666666666,0.0003254343333333333
1578676661,33.0,0.002679306666666667,0.0003700863333333333
1578676662,23.0,0.0027352666666666664,0.0002708646666666667
1578676663,20.0,0.0027482433333333328,0.0002530403333333333
1578676664,35.0,0.0026319699999999995,0.0003826226666666667
1578676665,21.0,0.0026292266666666664,0.0003054753333333333
1578676666,20.0,0.0026062400000000006,0.00042665566666666665
1578676667,24.0,0.002765993333333333,0.00027190866666666665
1578676668,36.0,0.002612683333333333,0.000370003
1578676669,20.0,0.002645446666666667,0.0003666373333333334
1578676670,14.0,0.00168336,0.0002562406666666666
1578676671,36.0,0.002822166666666667,0.00040398733333333334
1578676672,24.0,0.002753393333333333,0.0003671776666666667
1578676673,39.0,0.0026212133333333334,0.00035489766666666666
1578676674,18.0,0.0025363,0.0004911293333333334
1578676675,19.0,0.0026845833333333327,0.00032332466666666675
1578676676,25.0,0.0027021366666666667,0.000365668
1578676677,12.0,0.0027842366666666666,0.00043720666666666663
1578676678,27.0,0.0026984033333333334,0.00037451033333333337
1578676679,25.0,0.0026789266666666666,0.0002773018
1578676680,30.0,0.00264896,0.000249509
1578676681,22.0,0.0025625,0.0004055466666666667
1578676682,30.0,0.00272244,0.0003192833333333334
1578676683,16.0,0.00261314,0.00035850199999999996
1578676684,30.0,0.00258034,0.000311739
1578676685,37.0,0.00266951,0.000285803
1578676686,28.0,0.00254225,0.000425662
1578676687,38.0,0.00274773,0.0004627383333333333
1578676688,34.0,0.002592783333333333,0.0003761106666666667
1578676689,21.0,0.00267954,0.00027941033333333333
1578676690,30.0,0.00273286,0.000264701
1578676691,24.0,0.002615436666666667,0.0002945993333333333
1578676692,26.0,0.0027848166666666666,0.0003700486666666667
1578676693,26.0,0.0025265733333333334,0.00042945099999999996
1578676694,27.0,0.0026801833333333336,0.0004873713333333333
1578676695,17.0,0.0026305866666666666,0.00040661100000000003
1578676696,18.0,0.00271649,0.000386927
1578676697,28.0,0.0026912166666666665,0.00027629499999999997
1578676698,29.0,0.0026521633333333335,0.00030939333333333336
1578676699,27.0,0.0026009433333333332,0.0005261430000000001
1578676700,24.0,0.0026295433333333334,0.00045858566666666666
1578676701,24.0,0.0027556499999999997,0.000400882
1578676702,20.0,0.0027536566666666665,0.0005836903333333334
1578676703,24.0,0.0026702600000000003,0.00031402
1578676704,23.0,0.0024977233333333335,0.00045458333333333337
1578676705,18.0,0.0027931666666666665,0.00030447633333333335
1578676706,35.0,0.00262286,0.0003417013333333334
1578676707,19.0,0.0025606833333333334,0.00032898466666666663
